Category Name,Category Image,Name,Image,Description,Duration,Base Price,Materials Cost,Markup Percent,Keywords
Air Duct Cleaning,air_duct_cleaning.jpg,Sample Air Duct Cleaning Service,air_duct_cleaning_service.jpg,Sample service description for air duct cleaning.,1 hours,103.13,123.82,36,"air, duct, cleaning, service"
Electrical,electrical.jpg,Sample Electrical Service,electrical_service.jpg,Sample service description for electrical.,3 hours,426.21,96.63,35,"electrical, service"
Plumbing,plumbing.jpg,Sample Plumbing Service,plumbing_service.jpg,Sample service description for plumbing.,5 hours,114.56,179.94,17,"plumbing, service"
Automotive,automotive.jpg,Sample Automotive Service,automotive_service.jpg,Sample service description for automotive.,1 hours,247.4,17.64,14,"automotive, service"
Carpet Cleaning,carpet_cleaning.jpg,Sample Carpet Cleaning Service,carpet_cleaning_service.jpg,Sample service description for carpet cleaning.,3 hours,95.22,20.96,18,"carpet, cleaning, service"
Appliances,appliances.jpg,Sample Appliances Service,appliances_service.jpg,Sample service description for appliances.,2 hours,388.92,83.57,40,"appliances, service"
Garage,garage.jpg,Sample Garage Service,garage_service.jpg,Sample service description for garage.,1 hours,499.04,23.93,13,"garage, service"
General Contractor,general_contractor.jpg,Sample General Contractor Service,general_contractor_service.jpg,Sample service description for general contractor.,2 hours,50.56,65.75,18,"general, contractor, service"
Handyman,handyman.jpg,Sample Handyman Service,handyman_service.jpg,Sample service description for handyman.,5 hours,314.57,144.77,12,"handyman, service"
Heating and Air Conditioning,heating_and_air_conditioning.jpg,Sample Heating and Air Conditioning Service,heating_and_air_conditioning_service.jpg,Sample service description for heating and air conditioning.,3 hours,99.69,51.02,21,"heating, and, air, conditioning, service"
Landscaping and Lawn,landscaping_and_lawn.jpg,Sample Landscaping and Lawn Service,landscaping_and_lawn_service.jpg,Sample service description for landscaping and lawn.,1 hours,262.59,47.18,34,"landscaping, and, lawn, service"
Pest Control,pest_control.jpg,Sample Pest Control Service,pest_control_service.jpg,Sample service description for pest control.,2 hours,468.87,96.34,23,"pest, control, service"
Window and Exterior Cleaning,window_and_exterior_cleaning.jpg,Sample Window and Exterior Cleaning Service,window_and_exterior_cleaning_service.jpg,Sample service description for window and exterior cleaning.,3 hours,244.61,157.28,32,"window, and, exterior, cleaning, service"
Other,other.jpg,Sample Other Service,other_service.jpg,Sample service description for other.,1 hours,415.65,21.11,10,"other, service"
